,Start_Time,Total_Accidents
1414,2019-11-28,7
1415,2019-11-29,13
1416,2019-11-30,7
1417,2019-12-01,9
1418,2019-12-02,12
1419,2019-12-03,89
1420,2019-12-04,106
1421,2019-12-05,60
1422,2019-12-06,86
1423,2019-12-07,31
1424,2019-12-08,43
1425,2019-12-09,84
1426,2019-12-10,141
1427,2019-12-11,91
1428,2019-12-12,67
1429,2019-12-13,106
1430,2019-12-14,63
1431,2019-12-15,28
1432,2019-12-16,79
1433,2019-12-17,91
1434,2019-12-18,96
1435,2019-12-19,112
1436,2019-12-20,109
1437,2019-12-21,64
1438,2019-12-22,46
1439,2019-12-23,98
1440,2019-12-24,84
1441,2019-12-25,36
1442,2019-12-26,89
1443,2019-12-27,94
1444,2019-12-28,61
1445,2019-12-29,33
1446,2019-12-30,72
1447,2019-12-31,68
1448,2020-01-01,34
1449,2020-01-02,68
1450,2020-01-03,92
1451,2020-01-04,19
1452,2020-01-05,58
1453,2020-01-06,59
1454,2020-01-07,80
1455,2020-01-08,57
1456,2020-01-09,67
1457,2020-01-10,81
1458,2020-01-11,56
1459,2020-01-12,31
1460,2020-01-13,71
1461,2020-01-14,107
1462,2020-01-15,127
1463,2020-01-16,100
1464,2020-01-17,100
1465,2020-01-18,45
1466,2020-01-19,40
1467,2020-01-20,95
1468,2020-01-21,71
1469,2020-01-22,70
1470,2020-01-23,68
1471,2020-01-24,91
1472,2020-01-25,53
1473,2020-01-26,56
1474,2020-01-27,74
1475,2020-01-28,67
1476,2020-01-29,73
1477,2020-01-30,71
1478,2020-01-31,58
1479,2020-02-01,50
1480,2020-02-02,31
1481,2020-02-03,117
1482,2020-02-04,70
1483,2020-02-05,52
1484,2020-02-06,102
1485,2020-02-07,102
1486,2020-02-08,37
1487,2020-02-09,38
1488,2020-02-10,39
1489,2020-02-11,64
1490,2020-02-12,60
1491,2020-02-13,69
1492,2020-02-14,75
1493,2020-02-15,45
1494,2020-02-16,44
1495,2020-02-17,80
1496,2020-02-18,101
1497,2020-02-19,77
1498,2020-02-20,65
1499,2020-02-21,69
1500,2020-02-22,43
1501,2020-02-23,38
1502,2020-02-24,61
1503,2020-02-25,71
1504,2020-02-26,86
1505,2020-02-27,82
1506,2020-02-28,85
1507,2020-02-29,26
1508,2020-03-01,46
1509,2020-03-02,59
1510,2020-03-03,76
1511,2020-03-04,68
1512,2020-03-05,73
1513,2020-03-06,64
1514,2020-03-07,29
1515,2020-03-08,60
1516,2020-03-09,73
1517,2020-03-10,87
1518,2020-03-11,85
1519,2020-03-12,65
1520,2020-03-13,69
1521,2020-03-14,33
1522,2020-03-15,67
1523,2020-03-16,70
1524,2020-03-17,81
1525,2020-03-18,126
1526,2020-03-19,211
1527,2020-03-20,281
1528,2020-03-21,110
1529,2020-03-22,127
1530,2020-03-23,246
1531,2020-03-24,184
1532,2020-03-25,105
1533,2020-03-26,127
1534,2020-03-27,210
1535,2020-03-28,65
1536,2020-03-29,84
